Entity,Year,With family,With friends,With coworkers,With partner,With children,Alone
All people,15,4.3242335,1.5849737,0.16509315,0,0.3638834,3.6298292
All people,16,4.116544,1.5342971,0.39833188,0.0017322431,0.39559948,3.8731666
All people,17,3.7131433,1.8399414,0.7542929,0.016009701,0.4011328,4.005001
All people,18,3.8048632,2.0433443,1.3610882,0.10113275,0.48958424,4.3451796
All people,19,2.9506717,1.8550588,2.0948663,0.3049716,0.46235117,5.0910225
All people,20,2.9481745,1.8233132,2.3292847,0.38664412,0.74382305,5.0286283
All people,21,2.5243587,1.8535706,2.432969,0.86417514,1.0172919,4.969466
All people,22,2.27792,1.481358,2.7151678,0.81436557,1.0164442,5.2795258
All people,23,2.0676358,1.5505213,3.164406,1.3460319,1.4659724,4.8180656
All people,24,1.8410336,1.4652464,3.256154,1.6089003,1.4782037,4.836004
All people,25,1.5955848,1.1143253,3.1255138,1.9545946,1.7584212,5.0680943
All people,26,1.4147902,1.1769685,3.2146442,2.3045778,1.8549182,5.0404487
All people,27,1.3732631,1.0891538,3.2488308,2.5897603,2.361431,4.7678685
All people,28,1.2226641,0.97290105,3.2466478,2.7698324,2.787112,4.7782054
All people,29,1.3215789,0.89508873,3.1400917,2.8728702,2.9611726,4.758594
All people,30,1.0750387,0.7775076,3.3644574,3.0035253,3.1274734,4.669076
All people,31,1.1238853,0.77420336,2.961538,3.42172,3.5743172,4.699287
All people,32,1.0040898,0.7143404,3.1670299,3.3024943,3.6696613,4.6736774
All people,33,0.99557614,0.74591976,2.8660433,3.3830829,4.2269554,4.4386973
All people,34,1.0541801,0.60182637,2.8915737,3.3831902,4.2206087,4.6476307
All people,35,0.9305095,0.60739136,2.9502814,3.405099,4.202645,4.688648
All people,36,0.9920474,0.6061422,2.805493,3.2017047,4.183612,4.8671107
All people,37,0.9458152,0.65916455,2.935998,3.410114,4.110113,4.7512326
All people,38,0.93619335,0.6032187,3.0175295,3.3166397,4.185453,4.767395
All people,39,0.90444314,0.49104184,2.7374454,3.605871,4.32416,4.9584947
All people,40,0.80280143,0.5180474,2.9201047,3.331442,3.9253144,5.0740657
All people,41,0.9149081,0.54616845,2.8088353,3.3118677,4.039382,5.166913
All people,42,0.7840399,0.6010912,2.9771297,3.1685166,3.6708107,5.247589
All people,43,0.8658166,0.6139368,2.6630974,3.1687732,3.5566463,5.5686536
All people,44,0.8826157,0.56442976,2.7534525,3.2709227,3.5318751,5.4912815
All people,45,0.9285259,0.5439117,2.8972993,3.0779836,3.4288182,5.433181
All people,46,0.8925421,0.55800784,2.6746862,3.2106538,3.017115,5.8415823
All people,47,0.9083591,0.56656975,2.7187698,2.9244745,2.82637,6.0316224
All people,48,0.91613334,0.46375874,2.7532284,3.2785504,2.5638425,5.8100615
All people,49,0.92955095,0.56886566,2.9244716,3.1516557,2.3575034,5.934351
All people,50,1.0322596,0.4347758,2.6209476,2.8982227,2.2041621,6.4164543
All people,51,1.0111418,0.5429126,2.704168,3.1158695,2.0466034,6.3272247
All people,52,1.0769285,0.4934426,2.755771,3.1968045,1.7510698,6.5108914
All people,53,0.93304485,0.47755057,2.6279163,3.0423758,1.7058303,6.5952015
All people,54,0.95819265,0.5237667,2.8470879,2.9753935,1.479706,6.511518
All people,55,1.0408671,0.5143855,2.429713,3.1225529,1.4611981,6.6841364
All people,56,1.0673556,0.5714012,2.4634511,3.328167,1.3023612,6.5849357
All people,57,0.97034293,0.47245225,2.5231779,3.0973008,1.2711806,6.866834
All people,58,1.1284827,0.54479134,2.2483537,2.9755197,1.1009537,7.0307627
